gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_002160	3127	6929	10899	12623	9566	5673
CDIFF6300_002170	8971	21621	32449	33112	21894	17049
CDIFF6300_002180	7064	17079	25171	27415	17397	13990
CDIFF6300_002190	4344	10855	16272	18616	12653	9276
CDIFF6300_002200	73113	164372	239011	232831	158210	109823
CDIFF6300_002210	72634	148275	217665	193815	132646	93542
CDIFF6300_002220	53063	102949	171845	134093	90362	61125
CDIFF6300_002230	1050	2321	3731	3619	2860	1588
CDIFF6300_002240	11218	20457	35489	19188	15915	9673
CDIFF6300_002250	15	41	98	117	132	50
CDIFF6300_002260	0	4	8	9	1	4
CDIFF6300_002270	401	748	1522	1411	1104	462
CDIFF6300_002280	44	83	164	177	147	83
CDIFF6300_002290	806	661	1689	587	454	213
CDIFF6300_002300	2	1	2	14	13	6
CDIFF6300_002310	636	1225	1955	1975	1478	675
CDIFF6300_002320	1553	3113	5371	4025	2687	1355
CDIFF6300_002330	36	63	130	72	55	30
CDIFF6300_002340	1865	3348	6899	5207	4020	2081
CDIFF6300_002350	144	173	359	106	118	66
CDIFF6300_002360	11	32	59	151	92	53
CDIFF6300_002370	11	18	25	61	53	31
CDIFF6300_002380	33	86	186	192	128	59
CDIFF6300_002390	1	4	7	8	4	0
CDIFF6300_002400	2	11	20	26	17	5
CDIFF6300_002410	49	84	125	108	65	29
CDIFF6300_002420	7	22	50	36	20	16
CDIFF6300_002430	37	84	116	97	71	49
CDIFF6300_002440	2	7	11	22	21	10
CDIFF6300_002450	4	8	15	35	22	7
CDIFF6300_002460	8059	15233	35730	40987	35875	22702
CDIFF6300_002470	6888	10936	16823	11804	8611	6084
CDIFF6300_002480	2893	4886	7327	5792	4261	3208
CDIFF6300_002490	374	787	1103	1144	814	556
CDIFF6300_002500	761	1150	1712	1622	1081	746
CDIFF6300_002510	249	893	1602	2488	1664	321
CDIFF6300_002520	401	438	768	303	260	225
CDIFF6300_002530	219	301	427	166	144	142
CDIFF6300_002540	257	392	699	531	337	380
CDIFF6300_002550	163	318	422	538	406	375
CDIFF6300_002560	1330	2008	3290	2493	1805	1421
CDIFF6300_002570	1298	2205	3445	1963	1372	1082
CDIFF6300_002580	118	207	324	173	178	123
CDIFF6300_002590	566	1031	1718	1147	775	624
CDIFF6300_002600	107	210	316	299	223	158
CDIFF6300_002610	1	19	34	54	28	16
CDIFF6300_002620	3	11	35	32	36	30
CDIFF6300_002630	1	0	2	4	2	2
CDIFF6300_002640	3	8	26	15	18	8
CDIFF6300_002650	12	25	45	55	44	25
CDIFF6300_002660	19	46	62	39	39	36
CDIFF6300_002670	9	15	28	20	6	16
CDIFF6300_002680	462	855	1566	949	742	684
CDIFF6300_002690	26	31	96	123	78	44
CDIFF6300_002700	30	37	50	45	38	29
CDIFF6300_002710	16	47	81	60	103	64
CDIFF6300_002720	13	29	52	99	64	47
CDIFF6300_002730	10	22	48	62	42	26
CDIFF6300_002740	119	255	402	496	375	183
CDIFF6300_002750	160	310	491	500	398	155
CDIFF6300_002760	4846	8796	18532	13960	11212	6532
CDIFF6300_002770	119	219	406	361	260	200
CDIFF6300_002780	20598	23335	67373	79378	86034	23581
CDIFF6300_002790	365	544	1032	661	484	245
CDIFF6300_002800	7725	21925	37999	48855	37266	22843
CDIFF6300_002810	1095	3669	5721	9189	5828	3945
CDIFF6300_002820	3155	10776	16189	22793	13599	9873
CDIFF6300_002830	1884	3746	6712	4649	3730	2043
CDIFF6300_002840	2	4	7	20	12	4
CDIFF6300_002850	329951	624463	1042919	595453	429134	260640
CDIFF6300_002860	0	3	4	12	8	3
CDIFF6300_002870	21	45	70	85	56	32
CDIFF6300_002880	3	11	5	8	1	0
