gene_id	WT1	WT2	WT3	Mutant1	Mutant2	Mutant3
CDIFF6300_006610	1	4	6	16	12	7
CDIFF6300_006620	8	11	32	58	59	21
CDIFF6300_006630	5	14	30	56	37	15
CDIFF6300_006640	3	13	22	36	35	17
CDIFF6300_006650	1	11	12	52	25	15
CDIFF6300_006660	16	37	76	122	130	59
CDIFF6300_006670	45	108	182	185	184	67
CDIFF6300_006680	26	50	96	180	143	106
CDIFF6300_006690	2	9	5	22	29	18
CDIFF6300_006700	4	9	31	62	43	29
CDIFF6300_006710	3	5	19	64	54	33
CDIFF6300_006720	4	4	6	13	17	9
CDIFF6300_006730	1102	2298	3677	3409	2434	1779
CDIFF6300_006740	2069	4058	8910	7239	5825	3297
CDIFF6300_006750	461	973	2284	1211	798	347
CDIFF6300_006760	114	251	375	260	198	136
CDIFF6300_006770	927	2000	3013	2110	1568	879
CDIFF6300_006780	237	440	722	403	317	153
CDIFF6300_006790	14	13	42	23	14	3
CDIFF6300_006800	44	25	81	22	20	8
CDIFF6300_006810	3	0	0	2	2	1
CDIFF6300_006820	23	48	88	130	109	77
CDIFF6300_006830	71	156	275	531	401	239
CDIFF6300_006840	65	199	270	518	382	297
CDIFF6300_006850	75	193	305	500	324	241
CDIFF6300_006860	735	1318	2296	1923	1440	864
CDIFF6300_006870	152	267	750	1260	1170	732
CDIFF6300_006880	122	181	396	706	619	414
CDIFF6300_006890	132	157	498	576	573	211
CDIFF6300_006900	313	573	1230	1223	897	421
CDIFF6300_006910	2	8	8	13	6	8
CDIFF6300_006920	1	1	0	3	3	0
CDIFF6300_006930	3	7	7	12	16	9
CDIFF6300_006940	171	288	422	304	208	129
CDIFF6300_006950	83	164	340	518	434	187
CDIFF6300_006960	23	44	118	167	171	61
CDIFF6300_006970	55	153	365	586	484	136
CDIFF6300_006980	20	43	71	107	77	45
CDIFF6300_006990	19	51	152	174	154	83
CDIFF6300_007000	10	18	33	43	51	17
CDIFF6300_007010	22	46	73	99	33	37
CDIFF6300_007020	51	153	212	303	249	164
CDIFF6300_007030	50444	82927	138050	84284	63363	46177
CDIFF6300_007040	21	40	98	178	164	81
CDIFF6300_007050	1	10	15	22	17	13
CDIFF6300_007060	827	1375	3376	3072	2464	1594
CDIFF6300_007070	9	28	43	63	41	24
CDIFF6300_007080	2	5	16	12	16	3
CDIFF6300_007090	92	148	345	359	289	124
CDIFF6300_007100	72	97	160	116	110	52
CDIFF6300_007110	623	1070	1696	1353	1026	593
CDIFF6300_007120	1	1	1	0	0	3
CDIFF6300_007130	14	39	57	68	51	29
CDIFF6300_007140	18	49	71	129	78	56
CDIFF6300_007150	8	29	53	109	57	63
CDIFF6300_007160	12	26	33	41	29	23
CDIFF6300_007170	30	86	150	128	103	43
CDIFF6300_007180	2081	4173	8680	6974	5904	3318
CDIFF6300_007190	1174	2770	5575	4153	2929	1612
CDIFF6300_007200	387	700	1046	843	606	655
CDIFF6300_007210	947	1781	2858	2269	1625	1548
CDIFF6300_007220	26008	35172	62584	12138	13431	17877
CDIFF6300_007230	1986	2003	4071	594	663	1471
CDIFF6300_007240	4	4	4	13	6	7
CDIFF6300_007250	8	8	13	14	31	7
CDIFF6300_007260	139	372	671	541	418	286
CDIFF6300_007270	105	291	475	436	344	204
CDIFF6300_007280	1	0	1	1	0	0
CDIFF6300_007290	1	0	0	0	2	0
CDIFF6300_007300	3	11	18	10	9	5
CDIFF6300_007310	0	0	1	1	0	1
CDIFF6300_007320	0	1	1	0	0	0
CDIFF6300_007330	22	48	101	69	75	45
CDIFF6300_007340	11	28	34	34	17	13
CDIFF6300_007350	4	16	26	26	14	8
CDIFF6300_007360	87	243	412	282	150	99
CDIFF6300_007370	118	253	559	604	462	352
CDIFF6300_007380	5	7	8	30	35	19
CDIFF6300_007390	1	3	8	14	29	11
CDIFF6300_007400	359	527	1461	1177	1030	343
CDIFF6300_007410	0	0	0	0	0	0
CDIFF6300_007420	0	0	0	0	0	0
CDIFF6300_007430	5	14	35	45	40	18
CDIFF6300_007440	36	67	162	104	74	60
CDIFF6300_007450	4	6	21	44	24	12
CDIFF6300_007460	8	16	51	153	161	70
CDIFF6300_007470	5	12	7	10	11	8
CDIFF6300_007480	4	8	11	7	7	5
CDIFF6300_007490	1	2	6	4	5	3
CDIFF6300_007500	6	17	18	31	35	12
CDIFF6300_007510	23	36	64	80	71	38
CDIFF6300_007520	1	7	16	26	14	5
CDIFF6300_007530	0	4	1	9	2	4
CDIFF6300_007540	32	33	122	77	33	20
CDIFF6300_007550	50	52	110	72	76	41
CDIFF6300_007560	148	213	386	145	90	104
CDIFF6300_007570	69	92	220	80	60	66
CDIFF6300_007580	0	0	1	0	0	0
CDIFF6300_007590	2	5	11	3	7	4
CDIFF6300_007600	29	36	48	46	31	16
CDIFF6300_007610	12	12	32	38	28	21
CDIFF6300_007620	2	6	2	4	7	9
CDIFF6300_007630	1	0	1	0	0	1
CDIFF6300_007640	15	14	31	44	22	13
CDIFF6300_007650	72	132	242	162	109	81
CDIFF6300_007660	2	14	16	21	17	5
CDIFF6300_007670	21	27	70	51	37	38
CDIFF6300_007680	10	32	53	69	67	46
CDIFF6300_007690	48	107	221	182	123	81
CDIFF6300_007700	24	53	92	95	71	34
CDIFF6300_007710	21	46	90	106	75	40
CDIFF6300_007720	2	11	17	25	30	21
CDIFF6300_007730	2	4	12	20	18	9
CDIFF6300_007740	1	7	17	21	16	6
CDIFF6300_007750	65	146	256	324	299	271
CDIFF6300_007760	33	54	99	54	62	45
CDIFF6300_007770	15	9	43	34	16	24
CDIFF6300_007780	4	5	10	12	17	14
CDIFF6300_007790	4308	6262	22077	20223	15353	5695
CDIFF6300_007800	7	23	33	57	37	21
CDIFF6300_007810	13	41	45	53	35	27
CDIFF6300_007820	38	63	104	101	100	48
CDIFF6300_007830	12	32	32	36	25	14
CDIFF6300_007840	3	7	20	28	28	20
CDIFF6300_007850	43	138	298	426	390	264
CDIFF6300_007860	69	155	227	103	105	78
CDIFF6300_007870	91	189	282	149	107	64
CDIFF6300_007880	83	165	247	163	113	86
CDIFF6300_007890	0	0	0	1	0	0
CDIFF6300_007900	0	0	0	0	0	0
CDIFF6300_007910	19	28	60	38	30	23
CDIFF6300_007920	60	121	202	168	98	60
CDIFF6300_007930	52	142	277	196	106	68
CDIFF6300_007940	17	30	43	83	67	35
CDIFF6300_007950	7	15	23	21	24	11
CDIFF6300_007960	11	27	39	30	25	13
CDIFF6300_007970	274	443	1786	1586	1209	379
CDIFF6300_007980	0	0	1	1	0	0
CDIFF6300_007990	110	268	347	279	181	136
CDIFF6300_008000	0	3	1	0	1	0
CDIFF6300_008010	0	0	0	2	0	1
CDIFF6300_008020	5123	8745	13103	7865	4881	4127
CDIFF6300_008030	143	301	564	486	350	194
CDIFF6300_008040	68	117	260	270	205	160
CDIFF6300_008050	6	14	36	63	33	32
CDIFF6300_008060	1	1	5	4	1	2
CDIFF6300_008070	0	2	2	1	2	1
CDIFF6300_008080	1	1	3	6	0	1
CDIFF6300_008090	11	23	63	63	60	39
CDIFF6300_008100	33	61	135	189	131	126
CDIFF6300_008110	27	46	128	90	53	49
CDIFF6300_008120	2	7	20	23	16	13
CDIFF6300_008130	614	1654	2617	3189	2424	768
CDIFF6300_008140	5	17	23	67	42	9
CDIFF6300_008150	0	0	2	0	0	0
CDIFF6300_008160	3	2	3	18	13	2
CDIFF6300_008170	30	71	139	75	36	20
CDIFF6300_008180	2	0	1	2	1	1
CDIFF6300_008190	0	0	0	0	0	0
CDIFF6300_008200	12	27	38	23	21	12
CDIFF6300_008210	0	2	3	7	1	1
CDIFF6300_008220	4	10	30	24	28	22
CDIFF6300_008230	4	23	19	37	23	18
CDIFF6300_008240	73	152	315	305	191	108
CDIFF6300_008250	1307	1236	3030	436	259	161
CDIFF6300_008260	218	626	963	1563	1143	315
CDIFF6300_008270	596	1430	2974	2760	2126	1135
CDIFF6300_008280	4649	5945	15374	12022	9511	4111
CDIFF6300_008290	56	149	345	325	229	101
CDIFF6300_008300	970	1685	2613	1761	1266	903
CDIFF6300_008310	28	35	67	46	37	27
CDIFF6300_008320	20	34	67	60	33	24
CDIFF6300_008330	149	328	542	577	476	196
CDIFF6300_008340	251	420	732	482	378	219
CDIFF6300_008350	25	42	81	64	45	22
CDIFF6300_008360	27	41	107	76	45	16
CDIFF6300_008370	34	46	71	55	42	27
CDIFF6300_008380	96	166	350	468	338	202
CDIFF6300_008390	269	403	790	766	605	272
CDIFF6300_008400	13	29	59	61	46	20
CDIFF6300_008410	1460	3084	4510	3633	2772	1471
CDIFF6300_008420	6289	11894	17332	12243	9124	6470
CDIFF6300_008430	2741	5153	7850	5633	4469	2736
CDIFF6300_008440	4	1	7	3247	2698	669
CDIFF6300_008450	270	467	700	556	418	315
CDIFF6300_008460	1738	2656	3957	2427	1805	1237
CDIFF6300_008470	2078	3663	5296	2815	1837	1267
CDIFF6300_008480	416	855	1667	1734	1324	643
CDIFF6300_008490	159	282	557	750	691	339
CDIFF6300_008500	66793	111823	184867	107213	81187	54187
CDIFF6300_008510	898	1498	2319	1728	1276	744
CDIFF6300_008520	147	246	433	319	235	173
CDIFF6300_008530	1322	2767	5097	4407	3228	1321
CDIFF6300_008540	31	142	202	160	105	71
CDIFF6300_008550	6	21	25	30	3	11
CDIFF6300_008560	173	341	534	603	455	214
CDIFF6300_008570	313	495	828	909	689	310
CDIFF6300_008580	0	0	0	4	1	1
CDIFF6300_008590	4799	9000	16464	9518	7135	4641
CDIFF6300_008600	15124	26441	43472	34150	28418	23650
CDIFF6300_008610	5131	8431	14538	10751	7877	7675
CDIFF6300_008620	36276	56861	99519	54869	40918	33223
CDIFF6300_008630	1211	1936	3058	2959	2085	2066
CDIFF6300_008640	967	1470	2329	2701	1931	1935
CDIFF6300_008650	558	924	1395	1588	1092	1102
CDIFF6300_008660	880	1277	2141	2135	1531	1443
CDIFF6300_008670	2758	4017	7111	5615	4097	3643
CDIFF6300_008680	456	783	1349	2433	1905	1792
CDIFF6300_008690	803	1501	2616	4797	3711	3467
CDIFF6300_008700	4254	6917	11635	9799	7086	6602
CDIFF6300_008710	6415	9611	15698	10334	7187	6645
CDIFF6300_008720	18031	29276	47654	35246	24551	22701
CDIFF6300_008730	6750	10395	20404	13390	10201	8127
CDIFF6300_008740	1479	2545	4039	2526	1864	1578
CDIFF6300_008750	423	797	1197	1101	845	787
CDIFF6300_008760	233	398	620	674	480	516
CDIFF6300_008770	99	226	397	436	359	335
CDIFF6300_008780	101	237	398	865	938	750
CDIFF6300_008790	334	757	1547	2692	2611	1894
CDIFF6300_008800	1025	1704	4133	5079	4707	2728
CDIFF6300_008810	26	86	180	203	160	102
CDIFF6300_008820	16	47	76	65	55	30
CDIFF6300_008830	176	327	620	563	560	372
CDIFF6300_008840	80	168	251	163	141	107
CDIFF6300_008850	18	51	61	31	62	37
CDIFF6300_008860	12	37	42	44	34	21
CDIFF6300_008870	33	71	187	158	129	71
CDIFF6300_008890	31	50	129	170	167	73
CDIFF6300_008900	98	211	386	556	452	246
CDIFF6300_008910	1	5	1	17	1	2
CDIFF6300_008920	275	436	851	602	479	423
CDIFF6300_008930	280	553	980	878	697	573
CDIFF6300_008940	35	91	153	170	121	56
CDIFF6300_008950	462	823	1525	928	449	244
CDIFF6300_008960	130	350	512	253	176	112
CDIFF6300_008970	249	487	1006	371	264	164
CDIFF6300_008980	72	121	173	320	215	122
CDIFF6300_008990	432	924	1313	1394	1036	498
CDIFF6300_009000	433	945	1422	1588	1194	653
CDIFF6300_009010	741	1314	3468	2601	1885	831
CDIFF6300_009020	11	25	60	70	49	30
CDIFF6300_009030	843	1934	3714	2090	1436	1112
CDIFF6300_009040	25159	59206	96064	58495	40755	26623
CDIFF6300_009050	16	20	35	31	23	16
CDIFF6300_009060	538	1020	1649	1549	1006	390
CDIFF6300_009070	13	24	34	45	28	23
CDIFF6300_009080	11	10	17	24	24	18
CDIFF6300_009090	60	114	194	214	115	64
CDIFF6300_009100	74	116	212	219	122	70
CDIFF6300_009110	113	250	376	435	250	142
CDIFF6300_009120	43	79	111	130	81	31
CDIFF6300_009130	58	133	269	325	150	50
CDIFF6300_009140	29	71	131	162	114	92
CDIFF6300_009150	145	166	290	288	300	304
CDIFF6300_009160	1518	2095	3570	1987	1527	1370
CDIFF6300_009170	3798	5304	8936	5510	3929	3359
CDIFF6300_009180	19	17	31	17	13	9
CDIFF6300_009190	104	90	210	105	49	32
CDIFF6300_009200	57	58	165	71	32	19
CDIFF6300_009210	515	994	2152	2553	2086	1429
CDIFF6300_009220	1277	2347	3993	2370	1723	1028
CDIFF6300_009230	1010	1913	2578	1334	915	645
CDIFF6300_009240	5243	8281	12602	6220	4312	3575
CDIFF6300_009250	4492	7788	13252	7585	5724	4223
CDIFF6300_009260	8375	14408	22553	19142	13956	9140
CDIFF6300_009270	6	18	30	16	12	11
CDIFF6300_009280	161	324	649	603	505	185
CDIFF6300_009290	59	109	206	197	209	104
CDIFF6300_009300	303	520	830	1002	737	333
CDIFF6300_009310	38	107	98	155	97	43
CDIFF6300_009320	5	25	91	94	79	22
CDIFF6300_009330	1093	2050	3661	4706	3843	2842
CDIFF6300_009340	1313	2440	4222	5118	3790	3030
CDIFF6300_009350	5513	6618	15638	10651	8018	4285
CDIFF6300_009360	68	109	195	207	145	91
CDIFF6300_009370	0	0	0	1	1	0
CDIFF6300_009380	1	1	1	2	3	1
CDIFF6300_009390	334	731	1016	1154	896	440
CDIFF6300_009400	1643	3338	5354	4807	3563	1681
CDIFF6300_009410	98	254	442	417	352	130
CDIFF6300_009420	5	7	14	13	10	7
CDIFF6300_009430	17	37	47	28	28	15
CDIFF6300_009440	62	66	149	88	48	48
CDIFF6300_009450	2	1	2	5	4	0
CDIFF6300_009460	4	20	26	17	17	11
CDIFF6300_009470	25	61	90	43	41	21
CDIFF6300_009480	52	96	154	86	71	51
CDIFF6300_009490	36	55	100	56	44	41
CDIFF6300_009500	98	135	252	129	115	70
CDIFF6300_009510	57	102	140	118	108	59
CDIFF6300_009520	427	637	1570	1226	985	696
CDIFF6300_009530	3	35	39	33	11	11
CDIFF6300_009540	53	91	172	138	105	74
CDIFF6300_009550	206	429	646	729	592	442
CDIFF6300_009560	212	566	846	1565	1176	830
CDIFF6300_009570	5255	7424	15492	13541	13974	9905
CDIFF6300_009580	2772	4458	10299	7708	5739	3916
CDIFF6300_009590	21	35	88	179	180	129
CDIFF6300_009600	1	11	14	13	11	7
CDIFF6300_009610	1351	1811	5089	4799	4351	1297
CDIFF6300_009620	0	0	0	0	0	0
CDIFF6300_009630	307	694	1179	1276	995	712
CDIFF6300_009640	188	480	839	987	761	482
CDIFF6300_009650	379	688	1084	817	646	323
CDIFF6300_009660	493	788	1457	1224	910	541
CDIFF6300_009670	20	57	77	76	47	30
CDIFF6300_009680	19	33	66	80	59	42
CDIFF6300_009690	98	182	287	244	181	106
CDIFF6300_009700	196270	389791	603223	427352	321662	196254
CDIFF6300_009710	181643	377112	559682	374510	263281	151955
CDIFF6300_009720	357436	663298	1193739	800446	580655	310676
CDIFF6300_009730	46936	111094	187268	159983	114016	79809
CDIFF6300_009740	481	1039	1589	1370	1023	598
CDIFF6300_009750	2462	4649	8931	1730	1281	861
CDIFF6300_009760	71	130	193	156	145	61
CDIFF6300_009770	519	931	1556	681	503	289
CDIFF6300_009780	1346	2767	5186	3122	2355	1908
CDIFF6300_009790	630	1469	2777	2138	1603	1361
CDIFF6300_009800	22	81	107	134	111	113
CDIFF6300_009810	67	191	278	340	279	211
CDIFF6300_009820	401	1033	1553	1899	1498	1093
CDIFF6300_009830	711	1183	1833	1729	1268	946
CDIFF6300_009840	647	1439	2288	1670	748	653
CDIFF6300_009850	1785	3214	5765	4172	3069	2735
CDIFF6300_009860	8169	15253	26105	14787	11803	7454
CDIFF6300_009870	1	2	10	11	9	3
CDIFF6300_009880	47	101	168	188	119	71
CDIFF6300_009890	9808	14725	30033	20374	18305	13249
CDIFF6300_009900	1	2	5	2	3	1
CDIFF6300_009910	108	260	429	477	420	230
CDIFF6300_009920	0	1	1	3	1	1
CDIFF6300_009930	6	11	25	13	13	6
CDIFF6300_009940	576	996	1699	1056	705	449
CDIFF6300_009950	127	323	507	679	538	432
CDIFF6300_009960	22	30	135	108	83	21
CDIFF6300_009970	0	2	1	4	6	0
CDIFF6300_009980	501	927	1715	1836	2098	1408
CDIFF6300_009990	260	502	941	1363	1215	996
CDIFF6300_010000	28410	47316	84067	49361	38382	29165
CDIFF6300_010010	9974	17143	27434	19804	15347	15257
CDIFF6300_010020	11170	18538	31454	22145	16671	14676
CDIFF6300_010030	29	80	99	246	206	169
CDIFF6300_010040	0	3	0	0	0	2
CDIFF6300_010050	0	0	1	1	2	0
CDIFF6300_010060	19	22	38	27	22	24
CDIFF6300_010070	1	5	13	8	2	5
CDIFF6300_010080	101	170	295	199	156	99
CDIFF6300_010090	1712	3129	5974	5499	4540	3978
CDIFF6300_010100	1425	2918	4915	4897	3752	3563
CDIFF6300_010110	3	9	12	9	12	4
CDIFF6300_010120	157	302	756	700	533	330
CDIFF6300_010130	39	60	135	139	96	65
CDIFF6300_010140	1	5	14	18	34	8
CDIFF6300_010150	4	20	34	61	49	23
CDIFF6300_010160	3	29	39	74	80	36
CDIFF6300_010170	101	158	254	151	129	53
CDIFF6300_010180	31	46	70	39	53	30
CDIFF6300_010190	33	52	90	73	50	63
CDIFF6300_010200	51	93	219	138	108	61
CDIFF6300_010210	7	19	30	20	18	18
CDIFF6300_010220	12	37	38	24	26	20
CDIFF6300_010230	164	274	521	475	400	412
CDIFF6300_010240	5702	10003	18303	16967	15988	14799
CDIFF6300_010250	45823	74464	123983	87787	79660	68089
CDIFF6300_010260	2564	4509	7220	6860	6585	5250
CDIFF6300_010270	2147	3205	5103	3382	3253	2733
CDIFF6300_010280	2213	3348	5120	4014	3323	2948
CDIFF6300_010290	3799	5949	9540	7762	5791	4850
CDIFF6300_010300	610	1218	2042	2052	1335	1168
CDIFF6300_010310	40	60	152	174	161	81
CDIFF6300_010320	13	37	49	31	26	20
CDIFF6300_010330	8	15	50	23	14	13
CDIFF6300_010340	44	85	119	66	57	37
CDIFF6300_010350	84	158	242	104	86	66
CDIFF6300_010360	26	51	187	397	290	44
CDIFF6300_010370	806	2394	4393	3889	2832	1508
CDIFF6300_010380	352	828	1273	1805	1299	787
CDIFF6300_010390	576	1200	2028	2101	1594	1153
CDIFF6300_010400	166	329	560	654	381	289
CDIFF6300_010410	5	18	32	22	19	20
CDIFF6300_010420	1353	2529	4123	3570	2644	1398
CDIFF6300_010430	58	127	251	163	126	81
CDIFF6300_010440	2472	5795	7864	5891	4074	2543
CDIFF6300_010450	5459	12871	18045	11047	7401	4196
CDIFF6300_010460	5	6	13	8	5	1
CDIFF6300_010470	1085	1354	3496	2426	2741	1189
CDIFF6300_010480	0	0	0	0	0	0
CDIFF6300_010490	0	0	0	0	0	0
CDIFF6300_010500	0	0	0	0	0	0
CDIFF6300_010510	0	0	0	0	0	0
CDIFF6300_010520	0	0	0	0	0	0
CDIFF6300_010530	0	0	0	0	0	0
CDIFF6300_010540	0	0	0	0	0	0
CDIFF6300_010550	0	0	0	0	0	0
CDIFF6300_010560	0	0	0	0	0	0
CDIFF6300_010570	0	0	0	0	0	0
CDIFF6300_010580	0	0	0	0	0	0
CDIFF6300_010590	0	0	0	0	0	0
CDIFF6300_010600	0	0	0	0	0	0
CDIFF6300_010610	0	0	0	0	0	0
CDIFF6300_010620	0	0	0	0	0	0
CDIFF6300_010630	0	0	0	0	0	0
CDIFF6300_010640	0	0	0	0	0	0
CDIFF6300_010650	0	0	0	0	0	0
CDIFF6300_010660	0	0	0	0	0	0
CDIFF6300_010670	0	0	0	0	0	0
CDIFF6300_010680	0	0	0	0	0	0
CDIFF6300_010690	0	0	0	0	0	0
CDIFF6300_010700	0	0	0	0	0	0
CDIFF6300_010710	0	0	0	0	0	0
CDIFF6300_010720	0	0	0	0	0	0
CDIFF6300_010730	0	0	0	0	0	0
CDIFF6300_010740	0	0	0	0	0	0
CDIFF6300_010750	0	0	0	0	0	0
CDIFF6300_010760	0	0	0	0	0	0
CDIFF6300_010770	0	0	0	0	0	0
CDIFF6300_010780	0	0	0	0	0	0
CDIFF6300_010790	0	0	0	0	0	0
CDIFF6300_010800	0	0	0	0	0	0
CDIFF6300_010810	0	0	0	0	0	0
CDIFF6300_010820	0	0	0	0	0	0
CDIFF6300_010830	0	0	0	0	0	0
CDIFF6300_010840	0	0	0	0	0	0
CDIFF6300_010850	0	0	0	0	0	0
CDIFF6300_010860	0	0	0	0	0	0
CDIFF6300_010870	0	0	0	0	0	0
CDIFF6300_010880	0	0	0	0	0	0
CDIFF6300_010890	0	0	0	0	0	0
CDIFF6300_010900	0	0	0	0	0	0
CDIFF6300_010910	0	0	0	0	0	0
CDIFF6300_010920	0	0	0	0	0	0
CDIFF6300_010930	0	0	0	0	0	0
CDIFF6300_010940	0	0	0	0	0	0
CDIFF6300_010950	0	0	0	0	0	0
CDIFF6300_010960	0	0	0	0	0	0
CDIFF6300_010970	0	0	0	0	0	0
CDIFF6300_010980	0	0	0	0	0	0
CDIFF6300_010990	0	0	0	0	0	0
CDIFF6300_011000	0	0	0	0	0	0
CDIFF6300_011010	0	0	0	0	0	0
CDIFF6300_011020	0	0	0	0	0	0
CDIFF6300_011030	0	0	0	0	0	0
CDIFF6300_011040	0	0	0	0	0	0
CDIFF6300_011050	0	0	0	0	0	0
CDIFF6300_011060	0	0	0	0	0	0
CDIFF6300_011070	0	0	0	0	0	0
CDIFF6300_011080	0	0	0	0	0	0
CDIFF6300_011090	0	0	0	0	0	0
CDIFF6300_011100	0	0	0	0	0	0
CDIFF6300_011110	0	0	0	0	0	0
CDIFF6300_011120	0	0	0	0	0	0
CDIFF6300_011130	0	0	0	0	0	0
CDIFF6300_011140	0	0	0	0	0	0
CDIFF6300_011150	0	0	0	0	0	0
CDIFF6300_011160	0	0	0	0	0	0
CDIFF6300_011170	0	0	0	0	0	0
CDIFF6300_011180	0	0	0	0	0	0
CDIFF6300_011190	0	0	0	0	0	0
CDIFF6300_011200	0	0	0	0	0	0
CDIFF6300_011210	0	0	0	0	0	0
CDIFF6300_011220	0	0	0	0	0	0
CDIFF6300_011230	0	0	0	0	0	0
CDIFF6300_011240	0	0	0	0	0	0
CDIFF6300_011250	0	0	0	0	0	0
CDIFF6300_011260	0	0	0	0	0	0
CDIFF6300_011270	0	0	0	0	0	0
CDIFF6300_011280	0	0	0	0	0	0
CDIFF6300_011290	0	0	0	0	0	0
CDIFF6300_011300	0	0	0	0	0	0
CDIFF6300_011310	0	0	0	0	0	0
CDIFF6300_011320	0	0	0	0	0	0
CDIFF6300_011330	0	0	0	0	0	0
CDIFF6300_011340	0	0	0	0	0	0
CDIFF6300_011350	0	0	0	0	0	0
CDIFF6300_011360	20	43	86	91	54	26
CDIFF6300_011370	9	45	67	71	49	29
CDIFF6300_011380	14	48	62	71	47	23
CDIFF6300_011390	28	70	118	141	136	53
CDIFF6300_011400	101	266	480	504	397	233
CDIFF6300_011410	2616	5051	8952	6819	4694	2596
CDIFF6300_011420	76	152	238	319	194	130
CDIFF6300_011430	12	40	46	61	14	15
CDIFF6300_011440	1430	1806	2994	1142	1050	1389
CDIFF6300_011450	414	515	808	564	407	500
CDIFF6300_011460	29	55	79	82	39	48
CDIFF6300_011470	104	208	308	248	176	137
CDIFF6300_011480	19	37	77	165	108	42
CDIFF6300_011490	4927	7178	14416	7473	5853	5669
CDIFF6300_011500	2548	3986	6611	3690	2697	3507
CDIFF6300_011510	3205	5117	7692	4979	3317	3939
CDIFF6300_011520	42	72	148	156	109	67
CDIFF6300_011530	318	634	959	808	658	402
CDIFF6300_011540	609	1227	1993	2053	1647	875
CDIFF6300_011550	2	12	12	18	18	6
CDIFF6300_011560	2	6	10	23	5	15
CDIFF6300_011570	12	13	13	40	19	10
CDIFF6300_011580	164	316	511	415	352	181
CDIFF6300_011590	405	640	926	734	556	393
CDIFF6300_011600	1009	1794	2699	2072	1514	1009
CDIFF6300_011610	45	111	216	203	158	89
CDIFF6300_011620	150	204	600	488	373	259
CDIFF6300_011630	149	272	567	473	323	137
CDIFF6300_011640	44	64	151	135	143	63
CDIFF6300_011650	280	460	674	498	402	281
CDIFF6300_011660	380	598	1097	794	597	367
CDIFF6300_011670	465	1066	1842	1303	934	547
CDIFF6300_011680	24	36	63	63	87	50
CDIFF6300_011690	13	40	67	83	54	48
CDIFF6300_011700	47	82	173	188	95	70
CDIFF6300_011710	17	29	60	71	64	33
CDIFF6300_011720	104	161	265	187	131	72
CDIFF6300_011730	365	577	946	584	468	291
CDIFF6300_011740	0	1	4	3	1	0
CDIFF6300_011750	8	6	15	13	12	2
CDIFF6300_011760	10	37	59	42	30	26
CDIFF6300_011770	18	55	111	167	105	45
CDIFF6300_011780	129	196	358	236	221	124
CDIFF6300_011790	120	306	541	448	444	200
CDIFF6300_011800	73	245	509	398	378	227
CDIFF6300_011810	111	279	604	527	440	311
CDIFF6300_011820	560	1073	2544	1811	1463	1075
CDIFF6300_011830	3	1	4	1	1	3
CDIFF6300_011840	22	39	68	93	61	43
CDIFF6300_011850	1	0	1	6	5	1
CDIFF6300_011860	10	10	12	18	9	7
CDIFF6300_011870	4	11	9	17	12	14
CDIFF6300_011880	5	8	9	11	11	5
CDIFF6300_011890	10	8	15	26	22	18
CDIFF6300_011940	2705	5275	8455	9224	7235	4493
CDIFF6300_011950	468	936	1628	3108	2424	1717
CDIFF6300_011960	94	193	390	323	244	214
CDIFF6300_011970	205	459	667	497	366	318
CDIFF6300_011980	57	125	200	163	103	74
CDIFF6300_011990	172	350	499	578	431	349
CDIFF6300_012000	445	830	1333	1288	966	804
CDIFF6300_012010	92	223	379	451	342	266
CDIFF6300_012020	304	538	943	979	774	516
CDIFF6300_012030	195	366	767	1438	1264	697
CDIFF6300_012040	4	11	23	28	14	11
CDIFF6300_012050	894	1840	3333	2539	1686	746
CDIFF6300_012060	814	1337	2538	1899	1404	936
CDIFF6300_012070	12	56	141	306	212	63
CDIFF6300_012080	32	79	144	199	166	55
CDIFF6300_012090	4	11	10	66	41	16
CDIFF6300_012100	4	26	32	47	23	11
CDIFF6300_012110	9	34	43	78	43	19
CDIFF6300_012120	0	0	1	2	0	3
CDIFF6300_012130	537	808	2106	1908	1291	676
CDIFF6300_012140	28065	39052	68169	43903	32036	26311
CDIFF6300_012150	47382	70211	111434	60027	43170	41688
CDIFF6300_012160	83107	127643	208170	108460	79166	73100
CDIFF6300_012170	85663	133566	207873	112068	80350	73084
CDIFF6300_012180	64486	94809	151668	78782	58131	50941
CDIFF6300_012190	218635	315717	527924	247285	184541	143328
CDIFF6300_012200	60	161	262	256	187	168
CDIFF6300_012210	1061	1392	2837	1045	703	468
CDIFF6300_012220	138	204	514	1554	1894	999
CDIFF6300_012230	9	12	11	11	6	1
CDIFF6300_012240	0	1	5	4	2	3
CDIFF6300_012250	74	33	110	41	20	12
CDIFF6300_012260	63	52	138	46	36	7
CDIFF6300_012270	471	804	1808	1680	1258	608
CDIFF6300_012280	142	134	391	132	104	41
CDIFF6300_012290	18	16	50	24	21	14
CDIFF6300_012300	261	295	615	341	299	255
CDIFF6300_012310	24	38	103	78	65	43
CDIFF6300_012320	70	175	313	302	224	116
CDIFF6300_012330	21	42	89	136	125	54
CDIFF6300_012340	11	14	24	39	45	21
CDIFF6300_012350	1793	2872	4663	3563	2541	1240
CDIFF6300_012360	50	107	158	162	160	92
CDIFF6300_012370	19	23	57	54	46	40
CDIFF6300_012380	29	62	105	117	105	69
CDIFF6300_012390	22	58	93	89	89	27
CDIFF6300_012400	23	74	105	175	133	61
CDIFF6300_012410	29	63	127	212	157	74
